# file...... output/IEEE_123_feeder_0_swing_node_5.csv
# date...... Wed Jan 26 23:21:00 2022
# user...... lei
# host...... (null)
# target.... substation 3
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load
2013-08-28 00:00:00 PST,+138000+0i,+1.6262e+06+855353j
2013-08-28 00:00:01 PST,+412607+0j,+1.09384e+07+5.0468e+06j
2013-08-28 00:00:02 PST,+412607+0j,+1.09384e+07+5.0468e+06j
2013-08-28 00:00:03 PST,+412607+0j,+1.09384e+07+5.0468e+06j
2013-08-28 00:00:04 PST,+412607+0j,+1.09384e+07+5.0468e+06j
2013-08-28 00:00:05 PST,+412607+0j,+1.09384e+07+5.0468e+06j
2013-08-28 00:00:06 PST,+412607+0j,+1.09384e+07+5.0468e+06j
2013-08-28 00:00:07 PST,+412607+0j,+1.09384e+07+5.0468e+06j
2013-08-28 00:00:08 PST,+412607+0j,+1.09384e+07+5.0468e+06j
2013-08-28 00:00:09 PST,+412607+0j,+1.09384e+07+5.0468e+06j
2013-08-28 00:00:10 PST,+412607+0j,+1.09384e+07+5.0468e+06j
2013-08-28 00:00:11 PST,+412607+0j,+1.09384e+07+5.0468e+06j
2013-08-28 00:00:12 PST,+412607+0j,+1.09384e+07+5.0468e+06j
2013-08-28 00:00:13 PST,+412607+0j,+1.09384e+07+5.0468e+06j
2013-08-28 00:00:14 PST,+412607+0j,+1.09384e+07+5.0468e+06j
2013-08-28 00:00:15 PST,+412607+0j,+1.09384e+07+5.0468e+06j
2013-08-28 00:00:16 PST,+412607+0j,+1.09384e+07+5.0468e+06j
2013-08-28 00:00:17 PST,+412607+0j,+1.09384e+07+5.0468e+06j
2013-08-28 00:00:18 PST,+412607+0j,+1.09384e+07+5.0468e+06j
2013-08-28 00:00:19 PST,+412607+0j,+1.09384e+07+5.0468e+06j
2013-08-28 00:00:20 PST,+412607+0j,+1.09384e+07+5.0468e+06j
2013-08-28 00:00:21 PST,+412607+0j,+1.09384e+07+5.0468e+06j
2013-08-28 00:00:22 PST,+412607+0j,+1.09384e+07+5.0468e+06j
2013-08-28 00:00:23 PST,+412607+0j,+1.09384e+07+5.0468e+06j
2013-08-28 00:00:24 PST,+412607+0j,+1.09384e+07+5.0468e+06j
2013-08-28 00:00:25 PST,+412607+0j,+1.09384e+07+5.0468e+06j
2013-08-28 00:00:26 PST,+412607+0j,+1.09384e+07+5.0468e+06j
2013-08-28 00:00:27 PST,+412607+0j,+1.09384e+07+5.0468e+06j
2013-08-28 00:00:28 PST,+412607+0j,+1.09384e+07+5.0468e+06j
2013-08-28 00:00:29 PST,+412607+0j,+1.09384e+07+5.0468e+06j
